,year,st,cty,estabs_entry_rate,estabs_exit_rate,net_job_creation_rate
85666,2004,22,999,9.796,8.98,-2.743
85661,2004,22,121,7.306,7.763,-3.599
85662,2004,22,123,7.808,8.408,-2.673
85664,2004,22,127,9.715,8.71,-3.791
85643,2004,22,85,10.036,11.231,-6.463
85642,2004,22,83,8.707,7.124,-4.977
85641,2004,22,81,9.486,10.277,-6.731
85640,2004,22,79,9.964,8.96,3.519
85618,2004,22,35,14.108,11.618,3.967
85619,2004,22,37,10.088,10.088,2.12
85620,2004,22,39,8.465,8.858,10.218
85621,2004,22,41,9.252,7.891,4.637
85622,2004,22,43,18.082,13.151,9.048
85623,2004,22,45,8.603,6.536,-1.318
85624,2004,22,47,7.911,10.345,5.334
85660,2004,22,119,7.895,8.421,5.743
85626,2004,22,51,8.933,8.44,-2.19
85616,2004,22,31,11.304,10.145,10.055
85628,2004,22,55,10.818,8.749,1.492
85630,2004,22,59,9.524,10.256,-0.818
85631,2004,22,61,9.942,6.936,4.461
85632,2004,22,63,14.864,11.483,5.525
85633,2004,22,65,11.579,5.263,7.543
85634,2004,22,67,8.462,6.605,-7.078
85635,2004,22,69,13.97,9.82,10.697
85636,2004,22,71,9.655,9.677,2.264
85637,2004,22,73,9.597,7.422,1.442
85638,2004,22,75,8.569,8.424,2.507
85639,2004,22,77,5.723,6.325,-6.414
85629,2004,22,57,8.44,7.858,-1.714
85663,2004,22,125,9.302,9.302,-4.921
85627,2004,22,53,9.901,7.201,3.549
85659,2004,22,117,8.386,8.703,2.61
85625,2004,22,49,11.268,10.06,0.799
85657,2004,22,113,9.703,7.877,1.542
85658,2004,22,115,10.106,7.979,11.309
85665,2004,22,998,0.0,0.0,197.949
85601,2004,22,1,9.948,7.435,-5.767
85602,2004,22,3,11.402,13.559,2.337
85603,2004,22,5,10.918,9.088,0.866
85604,2004,22,7,9.465,11.111,3.354
85605,2004,22,9,7.946,9.745,-4.477
85606,2004,22,11,9.601,6.703,-7.533
85607,2004,22,13,10.309,9.072,3.017
85609,2004,22,17,8.978,8.978,-2.056
85610,2004,22,19,8.824,8.421,-1.044
85611,2004,22,21,11.009,7.951,-3.95
85612,2004,22,23,10.149,13.134,6.935
85613,2004,22,25,14.286,5.59,19.46
85614,2004,22,27,7.755,9.388,0.497
85608,2004,22,15,10.229,8.163,6.334
85655,2004,22,109,9.871,8.585,3.277
85656,2004,22,111,12.601,10.339,-5.563
85615,2004,22,29,7.317,6.098,4.101
85654,2004,22,107,16.842,10.526,4.938
85653,2004,22,105,9.811,8.38,4.335
85652,2004,22,103,12.424,8.408,4.726
85650,2004,22,99,10.447,7.56,-0.348
85649,2004,22,97,7.853,9.243,2.42
85651,2004,22,101,8.773,6.444,2.727
85647,2004,22,93,8.446,5.743,10.012
85646,2004,22,91,10.152,5.076,3.034
85645,2004,22,89,9.132,9.361,-7.339
85644,2004,22,87,7.929,8.659,2.462
85617,2004,22,33,9.793,9.707,2.507
85648,2004,22,95,9.378,8.892,-8.791
88871,2005,22,45,8.687,8.095,-1.895
88867,2005,22,37,12.446,8.155,-4.216
88870,2005,22,43,12.332,12.869,-15.441
88869,2005,22,41,11.23,9.091,-2.336
88868,2005,22,39,8.6,11.0,-3.674
88889,2005,22,81,12.648,11.858,-13.017
88909,2005,22,121,12.653,6.659,-0.974
88891,2005,22,85,10.414,8.284,12.334
88892,2005,22,87,8.81,8.915,-7.542
88912,2005,22,127,10.0,10.0,5.421
88911,2005,22,125,9.143,6.857,1.816
88910,2005,22,123,9.44,5.31,-2.919
88872,2005,22,47,7.566,6.748,-3.428
88890,2005,22,83,9.091,7.532,2.433
88873,2005,22,49,10.843,11.647,-6.95
88913,2005,22,998,75.0,0.0,-5.291
88875,2005,22,53,7.822,8.0,-1.175
88908,2005,22,119,6.728,6.728,2.069
88878,2005,22,59,8.534,11.132,8.53
88888,2005,22,79,9.805,8.234,-0.568
88887,2005,22,77,7.879,8.485,0.122
88886,2005,22,75,8.594,9.323,-2.371
88885,2005,22,73,9.648,9.218,-1.369
88874,2005,22,51,8.979,9.368,-0.902
88884,2005,22,71,8.761,10.45,-6.34
88882,2005,22,67,6.832,9.317,-3.819
88881,2005,22,65,7.853,13.089,-4.517
88880,2005,22,63,14.606,11.335,-4.391
88879,2005,22,61,9.444,6.858,3.489
88877,2005,22,57,9.194,9.718,-0.755
88876,2005,22,55,10.167,9.209,2.319
88883,2005,22,69,9.595,9.054,-5.91
88907,2005,22,117,12.949,9.828,-3.676
88906,2005,22,115,14.041,9.247,14.879
88905,2005,22,113,11.142,8.134,4.595
88849,2005,22,1,6.442,7.377,-0.409
88850,2005,22,3,9.192,12.678,-9.315
88851,2005,22,5,12.4,9.685,-1.165
88852,2005,22,7,8.75,10.417,-2.074
88853,2005,22,9,9.091,9.697,-5.707
88854,2005,22,11,8.969,9.865,-4.653
88855,2005,22,13,7.407,8.23,-5.74
88856,2005,22,15,10.537,9.642,0.449
88857,2005,22,17,9.285,8.36,2.35
88858,2005,22,19,8.849,8.749,2.21
88859,2005,22,21,8.955,7.164,-10.511
88860,2005,22,23,12.121,12.121,-7.665
88861,2005,22,25,11.48,14.502,-8.043
88862,2005,22,27,9.836,8.197,-7.525
88863,2005,22,29,7.867,7.564,-0.078
88914,2005,22,999,11.577,8.782,11.785
88865,2005,22,33,10.489,9.405,1.131
88864,2005,22,31,10.057,9.483,-5.223
88904,2005,22,111,7.767,10.356,-18.407
88903,2005,22,109,8.759,8.759,-0.666
88902,2005,22,107,7.447,11.702,6.472
88900,2005,22,103,12.366,9.098,2.283
88899,2005,22,101,6.555,9.754,-8.722
88901,2005,22,105,10.111,9.201,1.402
88897,2005,22,97,9.726,7.989,-2.619
88896,2005,22,95,9.896,7.502,11.472
88895,2005,22,93,8.319,7.987,9.281
88894,2005,22,91,7.179,14.359,-15.797
88893,2005,22,89,10.37,9.573,0.602
88866,2005,22,35,6.612,9.917,3.308
88898,2005,22,99,9.262,7.383,4.424
92138,2006,22,83,6.258,8.605,4.177
92117,2006,22,41,10.485,8.65,1.454
92116,2006,22,39,8.925,9.331,-0.76
92115,2006,22,37,9.524,6.625,5.216
92137,2006,22,81,16.154,11.538,-1.827
92139,2006,22,85,12.717,10.173,-15.819
92156,2006,22,119,9.928,8.23,4.189
92161,2006,22,998,0.0,0.0,5.319
92160,2006,22,127,12.171,9.539,4.312
92159,2006,22,125,13.661,7.104,-2.823
92158,2006,22,123,13.068,9.659,5.313
92157,2006,22,121,10.805,7.415,9.798
92118,2006,22,43,16.489,14.362,15.535
92140,2006,22,87,6.021,85.609,-78.967
92119,2006,22,45,8.89,6.684,13.174
92127,2006,22,61,11.971,9.445,2.766
92121,2006,22,49,10.909,10.505,7.896
92122,2006,22,51,9.538,16.939,-10.856
92123,2006,22,53,11.796,9.683,6.924
92124,2006,22,55,12.015,8.14,7.801
92125,2006,22,57,11.724,8.506,13.087
92128,2006,22,63,14.883,10.63,7.223
92129,2006,22,65,10.444,5.744,7.057
92130,2006,22,67,10.177,8.307,1.822
92131,2006,22,69,9.327,7.328,-0.192
92132,2006,22,71,8.05,40.357,-41.174
92133,2006,22,73,11.156,9.605,2.946
92134,2006,22,75,8.574,21.824,1.027
92135,2006,22,77,12.424,11.212,-0.998
92155,2006,22,117,11.683,11.53,0.133
92120,2006,22,47,9.34,8.731,-1.971
92154,2006,22,115,13.279,9.344,0.802
92112,2006,22,31,9.182,9.469,-3.502
92152,2006,22,111,14.403,13.421,-19.029
92162,2006,22,999,8.333,9.921,-7.253
92097,2006,22,1,9.938,8.282,7.676
92098,2006,22,3,11.2,9.6,12.964
92099,2006,22,5,15.075,9.223,9.452
92100,2006,22,7,12.422,9.524,6.179
92101,2006,22,9,10.068,7.814,6.044
92102,2006,22,11,10.592,9.874,9.881
92103,2006,22,13,8.787,9.623,2.279
92104,2006,22,15,14.104,8.012,1.342
92105,2006,22,17,10.069,8.483,6.005
92106,2006,22,19,9.683,9.959,1.718
92107,2006,22,21,11.561,6.936,8.162
92108,2006,22,23,12.541,30.363,-22.353
92109,2006,22,25,10.366,10.366,-5.81
92153,2006,22,113,9.923,10.584,4.279
92110,2006,22,27,8.943,8.943,-3.156
92136,2006,22,79,11.318,9.337,0.625
92113,2006,22,33,12.563,8.933,10.317
92114,2006,22,35,12.658,11.814,18.165
92141,2006,22,89,13.168,11.48,6.586
92142,2006,22,91,15.385,8.205,7.219
92143,2006,22,93,9.459,12.162,-5.912
92144,2006,22,95,15.115,8.702,3.707
92145,2006,22,97,10.498,8.453,4.187
92146,2006,22,99,12.346,7.537,4.867
92147,2006,22,101,9.46,8.277,4.545
92148,2006,22,103,14.584,14.327,0.435
92149,2006,22,105,12.438,8.49,3.423
92150,2006,22,107,7.609,7.609,4.335
92151,2006,22,109,9.579,9.429,13.531
92111,2006,22,29,10.241,9.036,5.434
92126,2006,22,59,11.397,7.721,7.194
